inputs,targets
" The primary objective of the present invention is to provide a combined storage apparatus comprising a storage bag and a storage box. The bottom of the storage bag forms an extended flat surface and is attached with a stiff board. Two sides of the stiff board are provided with locking members. Thereby, after the storage bag contains an article and is vacuumed, two lateral sections of the stiff board are folded upward to form two sidewalls. The storage bag is then placed into the storage box. Since the combined storage apparatus is boxy and of tough structure, a plurality of them can be stacked up so as to save storage or placement space. 
 The secondary objective of the present invention is to provide a combined storage apparatus wherein the flat bottom of the storage bag is attached with a stiff board. The stiff board is provided with at least one set of locking members, such as binding ribbons and buckle belts. After the storage bag is vacuumed and shrunk, the locking members are engaged to bind the storage bag, which bag is then stored within the storage box. The locking members prevent the storage bag from expansion due to air infiltration, sustaining compact storage space and shape. 
 The various objects and advantages of the present invention will be more readily understood from the following detailed description when read in conjunction with the appended drawings. 
","1. A combined storage apparatus, comprising: 
a storage bag provided with two snap strips respectively along two opposite sides of an opening thereof, said snap strips being capable of being combined to seal said storage bag, said storage bag further including an one-way air valve for extracting air therein, said storage bag further including a stiff board extending over a bottom side thereof, whereby said storage bag can be expanded; and 
a storage box having an inner space capable of housing said storage bag; 
whereby said storage bag can contain an article can, can be extracted of air so as to shrink onto the contour of said article and can be housed in said storage box."
" The shortcomings of the prior art are overcome and additional advantages are provided through a technique for simultaneous and/or selective self-testing of internal logic and asynchronous boundary requirements of an IC having a plurality of clock domains. 
 In one aspect of the invention, an on product clock generation (OPCG) logic core is provided for receiving commands from a self-test state machine (STSM), or another OPCG; and for simultaneously providing a clock command to each clock domain. The OPCG provides functional clock sequences during normal operation, and test clock sequences during testing operation. In one embodiment, the OPCG core comprises functions for self-testing internal logic for each clock domain, and for simultaneously issuing launch clocks to the driving latches of the asynchronous boundaries on the IC. An asynchronous boundary receive clock driver is associated with each asynchronous boundary for providing capture clocks for the receiving latches at each asynchronous clock boundary interface. 
 For each asynchronous boundary, the asynchronous boundary receive clock driver comprises logic for selecting the normal mode or test mode of operation. During normal mode, the driver generates a normal operational clock sequence. In LBIST test mode, separate programmable clock delays are associated with each respective asynchronous boundary receive clock driver in order to simultaneously test the multi-cycle requirements of each asynchronous boundary of a clock domain. 
 In another aspect of the invention, selective testing may be performed on the internal logic or on the asynchronous boundaries of an IC, or any combination thereof, and for any of the clock domains on the chip, or any combination thereof. 
 Systems and computer program products corresponding to the above-summarized methods are also described and claimed herein. 
 Further, additional features and advantages are realized through the techniques of the present invention. Other embodiments and aspects of the invention are described in detail herein and are considered a part of the claimed invention.
","1. A method for testing integrated circuitry comprising a plurality of clock domains, each clock domain having a respective frequency associated therewith, the method comprising: 
generating a clock command for each clock domain simultaneously; and 
providing an asynchronous receive clock for each clock domain having a predictable number of cycles relative to the frequency of the respective clock domain."
" Object of the present invention is therefore providing a binder for sheets or cards which is free from the above mentioned drawbacks. Said object is obtained by means of a binder whose main features are specified in the first claim and other features are specified in the following claims. 
 A first advantage of the binder according to the present invention consists in its convenient use, as a matter of fact it does not have the tendency to close itself when it is laid open. Further, it can be made of any material, for example a hard and cleanable material, and therefore is suitable for any kind of use. In particular, it can be used as a cover for a menu. 
 Further advantages and features of the binder according to the present invention will appear to those skilled in the art from the following detailed description of some embodiments thereof with reference to the accompanying drawings wherein.
","1. Binder for sheets or cards comprising a spine member provided in the central zone of a fastener for said sheets or cards and/or at least one holder for said fastener, characterized in that said spine member is provided with one or more longitudinal recesses, having a substantially circular cross-section, in each recess being inserted a support having substantially circular cross-section which is provided with means for fixing at least one cover of the binder, said means being formed of a cutting longitudinally made on the lateral wall of each support inside which a side of said cover of the binder can be inserted and fixed, at least one of said recesses having an opening suitable for allowing rotation inside it of the support and of the cover fixed thereto."
" This invention includes a method for enriching stem cells, which includes the steps of removing a desired volume of stem cell starting product from a donor/patient to obtain a stem cell starting product, loading the stem cell starting product into a fluid chamber, flowing a low density fluid to the loaded stem cell starting product in the fluid chamber, centrifuging the fluid chamber; and eluting off a first contaminating cell type from the stem cell starting product in the fluid chamber to create an enriched stem cell product. 
 The method may further include a step of debulking the stem cell starting product to remove a first contaminating cell type. 
 In a further aspect the invention relates to a method of concentrating the enriched stem cell product. 
 It is another aspect of the present invention to treat a damaged organ with stem cells, which were collected from bone marrow and enriched and concentrated using the above method. 
 Although the present invention is particularly directed to separating stem cells or progenitor cells from other cells contained within a bone marrow aspirate, it is understood that the techniques of the present invention can also apply to stem cells collected using other well known collection methods and from sources other than bone marrow aspirate, including, but not limited to, peripheral blood and umbilical cord blood. Therefore, both the foregoing general description and the following detailed description are exemplary, and are intended to provide further explanation of the invention as claimed.
","1. A method of enriching stem cells comprising the steps of: 
removing a desired volume of stem cell starting product from a donor/patient to obtain a stem cell starting product; 
loading the stem cell starting product into a fluid chamber; 
flowing a low density fluid into the loaded stem cell starting product in the fluid chamber; 
centrifuging the fluid chamber; and 
eluting off a first contaminating cell type from the stem cell starting product in the fluid chamber to create an enriched stem cell product; and 
collecting the enriched stem cell product."
" Devices and methods for protecting the neurovascular structures about the vertebral column are provided. One embodiment of the invention comprises a neuroprotective stent or device adapted for placement in an intervertebral foramen of a vertebral column and configured to resist compression or impingement from surrounding structures or forces. The stent or device may further comprise a flange or hinge region to facilitate attachment of the device to the vertebrae or to facilitate insertion of the device in the foramen, respectively. 
 One embodiment of the invention comprises a device for treating the spine, the device comprising a tubular body having a first end, a second end, an abluminal surface, a luminal surface, a lumen, a first edge, a second edge, and a hinge region, wherein the tubular body is adapted for positioning within an intervertebral foramen. The device may further comprise a flange, and the flange may comprise one or more through openings adapted for accepting a bone screw. In some embodiments, the tubular body comprises a material selected from the group consisting of polymers, polyetheretherketone (PEEK), polyetherketoneketone (PEKK), polyethylene, fluoropolymers, elastomers, ceramics, zirconia, alumina, silicon nitride; metal(s), titanium, titanium alloy, cobalt chromium, stainless steel, and combinations of these materials. In one embodiment, the hinge region comprises at least one region of reduced wall thickness of the tubular body. 
 In another embodiment of the invention, a device for treating the spine is provided, comprising a tubular body, the tubular body comprising a first end, a second end, an abluminal surface, a luminal surface, a lumen, a first edge, and a second edge, wherein the tubular body is adapted for positioning within an intervertebral foramen and wherein the first edge and second edge have interlockable configurations. The device may further comprise a locking element and wherein the interlockable configurations of the first edge and second edge each comprise alignable openings adapted to accept the locking element. 
 In one embodiment of the invention, a device for treating the spine is provided, comprising a tubular body, the tubular body comprising a first end, a second end, an abluminal surface, a luminal surface, a lumen adapted for accepting a nerve, a first edge, and a second edge, wherein the tubular body is adapted for positioning within an intervertebral foramen and wherein the tubular body comprises a material selected from the group consisting of polymers, polyetheretherketone (PEEK), polyetherketoneketone (PEKK), polyethylene, fluoropolymers, elastomers, ceramics, zirconia, alumina, silicon nitride; metal(s), titanium, titanium alloy, cobalt chromium, stainless steel, and combinations of these materials. The tubular body may further comprise a hinge region. In some embodiments, the first edge and second edge have interlockable configurations. In one embodiment, the first end of the tubular body has a flared configuration. 
 In one embodiment of the invention, another device for treating the spine is provided, comprising a tubular body having a first end, a second end, an abluminal surface, a luminal surface, a lumen adapted for accepting a nerve, a first edge, a second edge and a longitudinal opening between the first edge and second edge; and a spacer, wherein the tubular body is adapted for positioning within an intervertebral foramen. In one embodiment, the spacer has a first groove configured to accept the first edge of the tubular body and a second groove configured to accept the second edge of the tubular body. 
 In another embodiment of the invention, a device for treating the spine is provided, comprising a tubular body having a first end, a second end, an abluminal surface, a luminal surface, a lumen, a first edge and a second edge, wherein the tubular body is adapted for positioning within an intervertebral foramen and wherein the tubular body is configured to resist compression forces from spinal structures. The tubular body may be a stent structure. The spinal structures may comprise an intervertebral disc and/or a vertebra. 
 One embodiment of the invention comprises a method for treating a spine, the method comprising providing a tubular body having a lumen and adapted for placement within an intervertebral foramen, wherein the tubular body is configured to resist compression forces from spinal structures and inserting the tubular body into the intervertebral foramen. The method may further comprise providing a spacer, inserting the spacer into the intervertebral foramen and expanding the tubular body. In a further embodiment of the invention, the step of providing a tubular body comprises providing a stent structure.
","1. A device for treating the spine, comprising: 
a tubular body comprising a first end, a second end, an abluminal surface, a luminal surface, a lumen, a first edge, a second edge, and a hinge region; 
wherein the tubular body is adapted for positioning within an intervertebral foramen."
" In accordance with the teachings of the present invention, a method and apparatus for refrigeration system control utilizing electronic evaporator pressure regulators and a floating suction pressure set point is disclosed. To achieve the above objects of the present invention, the present method and apparatus employs electronic stepper regulators (ESR) instead of mechanical evaporator pressure regulators. The method and apparatus may also utilize temperature display modules at each case that can be configured to collect case temperature, product temperature and other temperatures. The display modules are daisy-chained together to form a communication network with a master controller that controls the electric stepper regulators and the suction pressure set point. The communication network utilized can either be a RS-485 or other protocol, such as LonWorks from Echelon. 
 In this regard, the data is transferred to the master controller where the data is logged, analyzed and control decisions for the ESR valve position and suction pressure set points are made. The master controller collects the case temperature for all the cases in a given circuit, takes average/min/max (based on user configuration) and applies PI/PID/Fuzzy Logic algorithms to decide the ESR valve position for each circuit. Alternatively, the master controller may collect liquid sub-cooling or relative humidity information to control the ESR valve position for each circuit. The master controller also controls the suction pressure set point for the rack which is adaptively changed, such that the set point is adjusted in such a way that at least one ESR valve is always kept substantially 100% open. 
 In one preferred embodiment, an apparatus for refrigeration system control includes a plurality of circuits with each of the circuits having at least one refrigeration case. An electronic evaporator pressure regulator is in communication with each circuit with each electronic evaporator pressure regulator operable to control the temperature of each circuit. A sensor is in communication with each circuit and is operable to measure a parameter from each circuit. A plurality of compressors is also provided with each compressor forming a part of a compressor rack. A controller controls each evaporator pressure regulator and a suction pressure of the compressor rack based upon the measured parameters from each of the circuits. 
 In another preferred embodiment, a method for refrigeration system control is set forth. This method includes measuring a first parameter from a first circuit where the first circuit includes at least one refrigeration case, measuring a second parameter from a second circuit where the second circuit includes at least one refrigeration case, determining a first valve position for a first electronic evaporator pressure regulator associated with the first circuit based upon the first parameter, determining a second valve position for a second electronic evaporator pressure regulator associated with the second circuit based upon the second parameter, electronically controlling the first and the second evaporator pressure regulators to control the temperature in the first circuit and the second circuit. 
 In another preferred embodiment, a method for refrigeration system control is set forth. This method includes a lead circuit having a lowest temperature set point from a plurality of circuits where each circuit has at least one refrigeration case, initializing a suction pressure set point for a compressor rack having at least one compressor based upon the identified lead circuit, determining a change in suction pressure set point based upon measured parameters from the lead circuit and updating the suction pressure based upon the change in suction pressure set point. 
 In yet another preferred embodiment, a method for refrigeration system control is also set forth. This method includes setting a maximum allowable product temperature for a circuit having at least one refrigeration case, determining a product simulated temperature for the circuit, calculating the difference between the product simulated temperature and the maximum allowable product temperature, and adjusting the temperature set point of the circuit based upon the calculated difference. 
 Use of the present invention provides a method and apparatus for refrigeration system control. As a result, the aforementioned disadvantages associated with the currently available refrigeration control systems have been substantially reduced or eliminated. 
 Further areas of applicability of the present invention will become apparent from the detailed description provided hereinafter. It should be understood that the detailed description and specific examples, while indicating the preferred embodiment of the invention, are intended for purposes of illustration only and are not intended to limit the scope of the invention.
","1. In a refrigeration system, a control system operable to meet cooling demand and control suction pressure for a plurality of refrigeration circuits each including a variable valve and an expansion valve, said controller operable to control said variable valve independently of said expansion valves to meet said cooling demand by determining a change in a measured parameter and controlling at least one of said variable valves based upon said change to an approximately fully open position."
" It is therefore an object of the present invention to provide a method and a circuit arrangement for wireless data transmission, which can achieve comparatively high transmission rates with improved utilization of the available bandwidth and permit a long transmission range. 
 In a preferred embodiment of the invention, the modulation signal during the modulation period is a noise signal. The method for producing a delimiter, according to a preferred embodiment, results in sidebands with only a small amount of energy, which lie far outside the useful spectrum, and thus can be filtered out easily. The limitation of the transmission rate caused by the sidebands is thus largely eliminated. Moreover, a short modulation period can be chosen so that the time periods during which the carrier signal is blanked can be kept short. This increases the achievable transmission range. The method can be used with amplitude modulation and/or phase modulation. The circuit arrangement according to the invention is particularly suitable for carrying out the method. 
 In a further development of the invention, the average value of the noise signal over time is constant. 
 In a further development of the invention, the modulation signal has the same modulation states before and after a change. In this way, for example, it is possible to simulate on-off keying that has a narrower usable bandwidth than when it is produced conventionally. 
 In a further development of the invention, the modulation signal has different modulation states before and after the change. In this way, for example, it is possible to simulate double sideband modulation that has no interfering sidebands. 
 In a further development of the invention, a random number sequence is generated to produce the noise signal, and this number sequence is converted into the noise signal by a digital-to-analog converter. This makes it possible to generate a noise signal in a simple and cost-effective manner. A random number sequence is advantageously generated using a linear feedback shift register or a chaotic counter. A chaotic counter is a component that outputs a chaotic sequence of values beginning with a start value. For example, a chaotic counter can be constructed as a ripple counter whose power consumption is small. The random number sequence can also be calculated once and stored in a storage area of the base station. For example, the calculation can take place on a conventional personal computer. In this way, generation of the random number sequence at run time can be eliminated, saving the circuit components required for this purpose. 
 In a further development of the circuit arrangement, the modulation signal generation unit comprises a linear feedback shift register or a chaotic counter for generating a random number sequence and a digital-to-analog converter for converting the random number sequence into the noise signal. 
 Further scope of applicability of the present invention will become apparent from the detailed description given hereinafter. However, it should be understood that the detailed description and specific examples, while indicating preferred embodiments of the invention, are given by way of illustration only, since various changes and modifications within the spirit and scope of the invention will become apparent to those skilled in the art from this detailed description.
","1. A method for wireless data transmission between a base station and one or more transponders, the method comprising the steps of: 
modulating, by the base station, a carrier signal with a modulation signal; and 
transmitting the modulated carrier signal, 
wherein symbols that are to be transmitted by the base station are coded using sequential delimiters, the value of a particular symbol being determined by a time period between two sequential delimiters, 
wherein a delimiter of the sequential delimiters is generated by changing the modulation signal during a modulation period, and 
wherein the modulation signal during the modulation period is a noise signal."
" The present invention provides a means of attaching a pass-through in the form of a valve or fitting to the wall of a plastic fuel tank having an embedded vapor barrier layer in the wall thereof and in a manner which provides for mechanical attachment of the pass-through and provides a vapor impervious seal for the fitting or pass-through. An aperture is formed through the tank wall exposing the edge of the vapor barrier layer and a locking ring is welded about the aperture to the outer surface of the tank wall. The locking ring is provided with undercut inwardly extending lugs spaced circumferentially about the inner periphery. A fitting or pass-through has an annular seal ring located thereon so as to engage the edge of the vapor barrier layer upon mechanical attachment of the fitting to the locking ring. In the presently preferred practice the fitting has projections thereon to enable axial insertion and twist locking of the fitting projections with the lugs on the locking ring on the tank.
","1. A method of mounting a pass-through on a plastic fuel tank of the type having an embedded vapor barrier comprising: 
(a) forming an access opening in the wall of the tank and exposing an edge of the vapor barrier about the periphery of the opening; 
(b) disposing a locking ring over the access opening and welding the ring to the exterior of the tank; 
(c) providing a pass-through with a resilient seal ring thereon; 
(d) disposing portions of the pass-through in the access opening and locating the sealing ring on said exposed edge of the vapor barrier; and, 
(e) securing the pass-through against said ring and retaining said sealing ring against said edge."
" According to a first preferred embodiment, a motion control system comprises control logic and a programming interface. The programming interface is configured to permit a user to specify a plurality of non-tangential path segments, and the control logic is configured to generate a plurality of additional connecting path segments substantially extending between and connecting the non-tangential path segments. The motion control system is configured to generate control signals to control operation of a plurality of motion axes to drive movement of a controlled element along a path defined by the non-tangential path segments and the additional connecting path segments. 
 According to another preferred embodiment, a control method controls movement of a controlled element in a multi-dimensional coordinate system. The multi-dimensional coordinate system is defined by at least first and second motion axes of a motion control system. The method comprises controlling movement of a controlled element along a first user-specified path segment. The first user-specified path segment is specified in one or more instructions in a user program. The method further comprises controlling movement of the controlled element along a transition path segment. The transition path segment transitions movement of the controlled element from a first trajectory along the first user-specified path segment to a second trajectory along a second user-specified path segment. The first and second trajectories have different orientations in the multi-dimensional coordinate system, and the transition path segment is generated by control logic and is not user-specified. The method further comprises controlling movement of the controlled element along the second user-specified path segment. The second user-specified path segment is specified by the one or more instructions in the user program. 
 According to another preferred embodiment, a system is provided for controlling a first motor and a second motor. The first motor defines a first motion axis and the second motor defines a second motion axis. The system comprises motion control logic configured to control the first motor and the second motor in accordance with a user program. The motion control logic provides a plurality of instructions configured for use in the user program, including an instruction that permits a move to be specified in terms of a multi-dimensional coordinate system that includes the first motion axis and the second motion axis. 
 According to another preferred embodiment, a programming interface for a motion control system is provided. The programming interface includes a multi-axis move instruction, which allows a user to specify a move in a single or multiple dimensions of a three dimensional source coordinate system. The multi-axis move instruction includes one or more fields, which permit the user to define the three-dimensional source coordinate system. The programming interface further includes coordinate transformation logic configured to transform move parameters generated in accordance with the move instruction into a target coordinate system. The target coordinate system is defined at least in part by first, second, and third motion axes associated with first, second and third motors controlled in accordance with the move instruction.
","1. A motion control system comprising control logic and a programming interface, the programming interface being configured to permit a user to specify a plurality of non-tangential path segments, and the control logic being configured to generate a plurality of additional transitioning path segments substantially extending between the non-tangential path segments, and wherein the control logic is configured to generate control signals to control operation of a plurality of motion axes to drive movement of a controlled element along a path defined by the non-tangential path segments and the additional transitioning path segments."
" The invention provides a walkie retrofit apparatus and method which is practical, reliable, accurate and efficient, and which is believed to fulfil the need and to constitute an improvement over the background technology. 
 The system transforms an existing pallet truck, walkie or lift truck, including Class II, III, IV and bar mount carriages, into a mobile weighing station. It can be used on standard 48 inch single pallet and 96 inch double pallet apparatus, with capacities up to 10,000 lbs. Power is supplied from the walkie's existing power pack without appreciably reducing overall run time. It can be configured for bar code scanning, data printout and RF wireless capabilities. 
 The invention enables fast and accurate weighing during movement of a pallet. This maximizes efficiency and minimizes guesswork in shipping, receiving, manufacturing, and other materials handling environments. Specifically, it an added process step and reliance on centralized stationary scales. Time is saved and accountability is improved. 
 In a general aspect the invention provides a weighing apparatus for a pallet handling apparatus, comprising a frame member, at least one load cell connected to the frame member, and a fork member communicatively connected to the frame and engaging the at least one load cell. 
 In a more specific aspect, the invention provides a weighing system for use in retrofitting a pallet handling apparatus to provide weighing functionality. The system comprises a control unit and two fork units. The electronic control unit has a display, an electronic weight calculation controller, and at least one control switch. Each fork unit is for substitution with one fork of the pallet handling apparatus. Each fork unit comprises a rigid frame member having an elongated configuration, a plurality of load cells fixedly connected to the frame member, the load cells being disposed in laterally oriented pairs, and a fork member communicatively connected to the frame and engaging the load cells. 
 The features, benefits and objects of the invention will become clear to those skilled in the art by reference to the following description, claims, and drawings.
","1. A weighing apparatus for a pallet handling apparatus, comprising a frame member, at least one load cell connected to the frame member, and a fork member communicatively connected to the frame and engaging the at least one load cell."
" Accordingly, it is an object of the invention to provide a child resistant change dispensing closure that may conveniently be operated by a consumer, is material efficient, and is dimensionally stable. It is further an object of the invention to provide such a closure that possesses a higher degree of child resistance than conventional closures of this type. 
 In order to achieve the above and other objects of the invention, a closure for a container that is constructed according to a first aspect of the invention includes a main body portion that is constructed and arranged to be secured to a container, the main body portion having a dispensing orifice defined therein; a first lid portion that is hingedly mounted to the main body portion and movable between a first, open position wherein material may be dispensed from the container through the orifice and a second, closed position wherein the orifice is blocked; a second lid portion that is mounted for rotation with respect to the first lid portion, the second lid portion being rotatable between an unlocked position and a locked position wherein the second lid portion engages the main body portion to prevent movement of the first lid portion away from the second, closed position; and releasable locking structure for selectively preventing the second lid portion from being moved to the unlocked position. 
 These and various other advantages and features of novelty that characterize the invention are pointed out with particularity in the claims annexed hereto and forming a part hereof. However, for a better understanding of the invention, its advantages, and the objects obtained by its use, reference should be made to the drawings which form a further part hereof, and to the accompanying descriptive matter, in which there is illustrated and described a preferred embodiment of the invention.
","1. A closure for a container, comprising: 
a main body portion that is constructed and arranged to be secured to a container, said main body portion having a dispensing orifice defined therein; 
a first lid portion, said first lid portion being hingedly mounted to said main body portion and being movable between a first, open position wherein material may be dispensed from the container through said orifice and a second, closed position wherein said orifice is blocked; 
a second lid portion that is mounted for rotation with respect to said first lid portion, said second lid portion being rotatable between an unlocked position and a locked position wherein said second lid portion engages said main body portion to prevent movement of said first lid portion away from said second, closed position; and 
releasable locking means for selectively preventing said second lid portion from being moved to said unlocked position."
" A method for guiding an end effector to a target position within a person in accordance with an exemplary embodiment is provided. The method includes generating a plurality of digital images of an interior anatomy of the person when the person has a predetermined respiratory state. The method further includes indicating a skin entry position on at least one of the digital images. The method further includes indicating the target position on at least one of the digital images. The method further includes determining a trajectory path based on the skin entry position and the target position. Finally, the method includes moving the end effector along the trajectory path toward the target position when the person has substantially the predetermined respiratory state. 
 A system for guiding an end effector to a target position within a person in accordance with another exemplary embodiment is provided. The system includes a respiratory monitoring device for monitoring a respiratory state of the person. The system further includes a scanning device configured to scan an interior anatomy of the person when the person has a predetermined respiratory state to generate scanning data. The system further includes a first computer generating a plurality of digital images based on the scanning data. The system further includes a second computer configured to display the plurality of digital images, the second computer is further configured to allow an operator to indicate a skin entry position on at least one of the digital images. The second computer is further configured to allow the operator to indicate the target position on at least one of the digital images. The second computer is further configured to determine a trajectory path based on the skin entry position and the target position. Finally, the system includes an end effector insertion device having the end effector adapted to be inserted into the person, the second computer inducing the end effector insertion device to move the end effector along the trajectory path toward the target position when the person has substantially the predetermined respiratory state. 
 A system for guiding an end effector to a target position within a person in accordance with another exemplary embodiment is provided. The system includes a respiratory monitoring device for monitoring a respiratory state of the person. The system further includes a scanning device configured to scan an interior anatomy of the person when the person has a predetermined respiratory state to generate scanning data. The system further includes a first computer generating a plurality of digital images based on the scanning data. The first computer is further configured to display the plurality of digital images. The first computer is further configured to allow an operator to indicate a skin entry position on at least one of the digital images. The first computer is further configured to allow the operator to indicate the target position on at least one of the digital images. The first computer is further configured to determine a trajectory path based on the skin entry position and the target position. Finally, the system includes an end effector insertion device having the end effector adapted to be inserted into the person. The first computer induces the end effector insertion device to move the end effector along the trajectory path toward the target position when the person has substantially the predetermined respiratory state. 
 An article of manufacture in accordance with another exemplary embodiment is provided. The article of manufacture includes a computer storage medium having a computer program encoded therein for guiding an end effector to a target position within a person. The computer storage medium includes code for generating a plurality of digital images of an interior anatomy of the person when the person has a predetermined respiratory state. The computer storage medium further includes code for indicating a skin entry position on at least one of the digital images. The computer storage medium further includes code for indicating the target position on at least one of the digital images. The computer storage medium further includes code for determining a trajectory path based on the skin entry position and the target position. Finally, the computer storage medium includes code for moving the end effector along the trajectory path toward the target position when the person has substantially a predetermined respiratory state. 
 A method for guiding an end effector to a target position within a person in accordance with another exemplary embodiment is provided. The method includes monitoring a respiratory state of a person during at least one respiratory cycle. Finally, the method includes moving an end effector along a trajectory path toward the target position in the person when the person has substantially a predetermined respiratory state.
","1. A method for guiding an end effector to a target position within a person, comprising: 
generating a plurality of digital images of an interior anatomy of the person when the person has a predetermined respiratory state; 
indicating a skin entry position on at least one of the digital images; 
indicating the target position on at least one of the digital images; 
determining a trajectory path based on the skin entry position and the target position; and 
moving the end effector along the trajectory path toward the target position when the person has substantially the predetermined respiratory state."
" The present invention relates to a selectively embossed plastic film bag, which includes: (a) a front panel and a back panel, the front panel and the back panel being formed of a flexible plastic film, and each having an inside and an outside, and each having a top, a bottom, a left side and a right side, the front panel having a predetermined width W at it's top and having a predetermined height H, the back panel and the front panel being connected to one another at the sides and the bottom and being open at the top to establish the bag; (b) an embossment located on only the front panel, the embossment having a width of about 30% to 100% of the width W, and the embossment having a height of about 2% to about 100% of the height, H. 
 In some embodiments, the selectively embossed plastic film bag embossment has a width equal to at least 50% of the width W, typically centered. However, in some preferred embodiments, the selectively embossed plastic film bag embossment has a width equal to the width W, i.e., it runs the full width of the bag front panel. 
 In some embodiments, the selectively embossed plastic film bag front panel and back panel are connected to one another at their sides in a continuous seamless tube form and are heat sealed at their bottoms. In other embodiments, the selectively embossed plastic film bag front panel and back panel are heat sealed to one another at their sides and at their bottoms. 
 Although the embossment may be near the top of the front panel, in some preferred embodiments, the selectively embossed plastic film bag embossments are contiguous to the top of the front panel. 
 In some preferred embodiments, the selectively embossed plastic film bag embossment is within a topmost 20% of the front panel and has a height equal to about 2% to about 20% of the height H, and more preferrably, has a height equal to about 5% to about 10% of the height H. 
 Although not limited thereto, in some preferred embodiments, the front panel and the back panel are formed of a flexible plastic film, and each having an inside and an outside, and each having a top, a bottom, a left side and a right side, the front panel has a predetermined height H, while the back panel has a height that is greater than the height H of the front panel to create a tuck and lock bag. 
","1. A selectively embossed plastic film bag, which comprises: 
(a) a front panel and a back panel, said front panel and said back panel being formed of a flexible plastic film, and each having an inside and an outside, and each having a top, a bottom, a left side and a right side, said front panel having a predetermined width W at it's top and having a predetermined height H, said back panel and said front panel being connected to one another at said sides and said bottom and being open at said top to establish said bag; 
(b) an embossment located on said front panel, said embossment having a width of about 30% to 100% of said width W, and said embossment having a height of about 2% to about 100% of said height, H."
" According to a first aspect of the invention, vacuum pumping apparatus is provided. The vacuum pumping apparatus comprises a scroll set having an inlet and an outlet, and a drive mechanism operatively coupled to the scroll set. The scroll set comprises a stationary scroll element including a stationary scroll blade and an orbiting scroll element including an orbiting scroll blade. The stationary and orbiting scroll blades are intermeshed together to define one or more interblade pockets. The drive mechanism produces orbiting motion of the orbiting scroll blade relative to the stationary scroll blade so as to cause the one or more interblade pockets to move toward the outlet. The vacuum pumping apparatus further comprises a bellows assembly coupled between a first stationary component of the vacuum pumping apparatus and said orbiting scroll element so as to isolate a first volume inside the bellows assembly and a second volume outside the bellows assembly. One end of the bellows assembly is free to rotate during orbiting motion of the orbiting scroll blade relative to the stationary scroll blade. The vacuum pumping apparatus further comprises a synchronization mechanism coupled between the orbiting scroll element and a second stationary component of the vacuum pumping apparatus. The synchronization mechanism is located within the first volume. 
 The bellows assembly may comprise a bellows, a first flange sealed to a first end of the bellows and a second flange sealed to a second end of the bellows. The apparatus may further comprise a frame having a center hub, and the first flange may be rotatably connected to the center hub. The second flange may be coupled to the orbiting scroll element. An optional bellows may be sealed between the stationary scroll element and the first flange. 
 The synchronization mechanism may comprise three synchronization cranks, each coupled between the orbiting scroll element and a mounting plate affixed to the center hub. The synchronization cranks may be located at least partially inside the bellows assembly. Preferably, the synchronization cranks are located within an outer periphery of the stationary and orbiting scroll blades. 
 According to a second aspect of the invention, a method is provided for operating vacuum pumping apparatus of the type comprising a stationary scroll element and an orbiting scroll element. The method comprises producing orbiting motion of the orbiting scroll element relative to the stationary scroll element, coupling a bellows assembly between a first stationary component of the vacuum pumping apparatus and the orbiting scroll element so as to isolate a first volume inside the bellows assembly and a second volume outside the bellows assembly, wherein one end of the bellows assembly is free to rotate during motion of the orbiting scroll element relative to the stationary scroll element, and coupling a synchronization mechanism between the orbiting scroll element and a second stationary component of the vacuum pumping apparatus so as to synchronize the orbiting scroll element and the stationary scroll element, wherein the synchronization mechanism is located within the first volume.
","1. Vacuum pumping apparatus comprising: 
a scroll set having an inlet and an outlet, said scroll set comprising a stationary scroll element including a stationary scroll blade and an orbiting scroll element including an orbiting scroll blade, wherein said stationary and orbiting scroll blades are intermeshed together to define one or more interblade pockets; 
a drive mechanism operatively coupled to said orbiting scroll element for producing orbiting motion of said orbiting scroll blade relative to said stationary scroll blade so as to cause said one or more interblade pockets to move toward said outlet; 
a bellows assembly coupled between a first stationary component of said vacuum pumping apparatus and said orbiting scroll element so as to isolate a first volume inside the bellows assembly and a second volume outside the bellows assembly, wherein one end of said bellows assembly is free to rotate during motion of said orbiting scroll blade relative to said stationary scroll blade; and 
a synchronization mechanism coupled between said orbiting scroll element and a second stationary component of said vacuum pumping apparatus and located within the first volume."
